s,a,r,sp
"(-122.3980878, 37.7795658)","(-122.3965439, 37.7783334)",-19.75458673,"(-122.3965439, 37.7783334)"
"(-122.3965439, 37.7783334)","(-122.3987697, 37.776574)",-28.37194741,"(-122.3987697, 37.776574)"
"(-122.3987697, 37.776574)","(-122.3965439, 37.7783334)",-28.37194741,"(-122.3965439, 37.7783334)"
"(-122.3965439, 37.7783334)","(-122.3957703, 37.7777178)",-9.886456999,"(-122.3957703, 37.7777178)"
"(-122.3957703, 37.7777178)","(-122.3949973, 37.777103)",-9.876781055,"(-122.3949973, 37.777103)"
"(-122.3949973, 37.777103)","(-122.3927644, 37.778855)",-28.38194216,"(-122.3927644, 37.778855)"
"(-122.3927644, 37.778855)","(-122.3949973, 37.777103)",-28.38194216,"(-122.3949973, 37.777103)"
"(-122.3949973, 37.777103)","(-122.3972398, 37.7753545)",-28.43599567,"(-122.3972398, 37.7753545)"
"(-122.3972398, 37.7753545)","(-122.3949973, 37.777103)",-28.43599567,"(-122.3949973, 37.777103)"
"(-122.3949973, 37.777103)","(-122.3941277, 37.7764146)",-11.09098156,"(-122.3941277, 37.7764146)"
"(-122.3941277, 37.7764146)","(-122.3939857, 37.7761888)",-2.667388986,"(-122.3939857, 37.7761888)"
"(-122.3939857, 37.7761888)","(-122.3933992, 37.77573)",-7.446339302,"(-122.3933992, 37.77573)"
"(-122.3933992, 37.77573)","(-122.3927923, 37.7753679)",-7.067135346,"(-122.3927923, 37.7753679)"
"(-122.3927923, 37.7753679)","(-122.3916329, 37.7744653)",-14.6931791,"(-122.3916329, 37.7744653)"
"(-122.3916329, 37.7744653)","(-122.3927923, 37.7753679)",-14.6931791,"(-122.3927923, 37.7753679)"
"(-122.3927923, 37.7753679)","(-122.3932673, 37.7758339)",-6.654179138,"(-122.3932673, 37.7758339)"
"(-122.3932673, 37.7758339)","(-122.3911201, 37.7775275)",-27.34730115,"(-122.3911201, 37.7775275)"
"(-122.3911201, 37.7775275)","(-122.3916917, 37.777976)",-7.265526891,"(-122.3916917, 37.777976)"
"(-122.3916917, 37.777976)","(-122.3919168, 37.7781551)",-2.876574699,"(-122.3919168, 37.7781551)"
"(-122.3919168, 37.7781551)","(-122.3916917, 37.777976)",-2.8765747,"(-122.3916917, 37.777976)"
"(-122.3916917, 37.777976)","(-122.3911201, 37.7775275)",-7.265526891,"(-122.3911201, 37.7775275)"
"(-122.3911201, 37.7775275)","(-122.3916917, 37.777976)",-7.265526891,"(-122.3916917, 37.777976)"
"(-122.3916917, 37.777976)","(-122.3919168, 37.7781551)",-2.876574699,"(-122.3919168, 37.7781551)"
"(-122.3919168, 37.7781551)","(-122.3941277, 37.7764146)",-28.1379087,"(-122.3941277, 37.7764146)"
"(-122.3941277, 37.7764146)","(-122.3963772, 37.774644)",-28.62739005,"(-122.3963772, 37.774644)"
"(-122.3963772, 37.774644)","(-122.3961819, 37.7744975)",-2.441400008,"(-122.3961819, 37.7744975)"
"(-122.3961819, 37.7744975)","(-122.3939857, 37.7761888)",-27.7196503,"(-122.3939857, 37.7761888)"
"(-122.3939857, 37.7761888)","(-122.3938354, 37.7763064)",-1.908398543,"(-122.3938354, 37.7763064)"